'5분이면 청약 끝'…한화생명 청약자동화 솔루션 특허 취득, (서울=연합인포맥스) 정지서 기자 = 한화생명이 업계 최초로 보험 신계약 과정을 로봇 기술로 자동화하며 법인대리점(GA) 시장에서의 영업 경쟁력 강화에 나섰다., https://news.einfomax.co.kr/news/articleView.html?idxno=4239120 
한화생명 '청약자동화 솔루션' 특허 취득...5분이면 청약 가능, 한화생명은 보험설계 및 청약 업무 프로세스 자동화 기술인 '청약자동화 솔루션'에 대한 BM특허를 특허청으로부터 취득했다고 25일 밝혔다., https://www.ngetnews.com/news/articleView.html?idxno=411836 
한화생명 청약자동화 솔루션 특허…GA설계사 업무간소화, 한화생명[088350]은 보험설계 및 청약 업무 프로세스 자동화 기술인 '청약 자동화 솔루션'이 BM 특허를 취득했다고 25일 밝혔다. BM 특허는 정보시스템을 이용해 고안..., https://www.mk.co.kr/news/economy/view/2022/10/944694/ 
롯데홈쇼핑 이천 물류센터 오픈...최첨단 자동화 시스템 갖춰, 자율주행로봇 무인운반차 로봇팔 디팔렛타이저 등 최첨단 자동화 설비 도입. 롯데홈쇼핑(대표 이완신)이 난 21일(금) 경기도 이천에서 업계 최초로 자동화 시스템을..., http://www.klnews.co.kr/news/articleView.html?idxno=305926 
'2022 국제 공구 및 스마트 용접 자동화전' 성료, 최첨단 공구 및 스마트 용접 자동화기기를 한눈에 볼 수 있었던 '2022 국제 공구 및 스마트 용접 자동화전(TOOL TECH + SMART WELDING AUTOMATION FAIR)'이 나흘간 2..., http://www.snmnews.com/news/articleView.html?idxno=506612 
지멘스 차세대 IC DFT 자동화 솔루션 '테센트 멀티-다이' 공개, ... 가 선보인 테센트 멀티-다이 소프트웨어는 2.5D 및 3D IC 설계와 관련된 매우 복잡한 DFT 작업을 수행하기 위한 업계에서 가장 포괄적인 DFT 자동화 솔루션이다., https://www.hellot.net/news/article.html?no=72189 
창원시 "국내 최대 용접 및 절단자동화전 328억 수출상담", 용접 절단 최대 수요지인 창원에서 지난 18일부터 4일 간 개최된 34년 역사의 용접·절단 기술 전문 전시회인 창원국제용접 및 절단자동화전에는 1만여명의 관람객이 다녀..., http://www.newsfreezone.co.kr/news/articleView.html?idxno=419338 
자동화로 네트워크 전체 스위치 업그레이드를 효율화하는 방법, 자동화는 반복적인 네트워킹 작업에서 큰 차이를 만들어낼 수 있다. 파이썬 스크립트와 오픈소스 툴을 사용해 엔터프라이즈 스위치 업그레이드를 효율화하기 위해 필자..., https://www.itworld.co.kr/news/260974 
롯데홈쇼핑 이천 물류센터 오픈…자동화 시스템 도입, 롯데홈쇼핑은 경기도 이천에 자동화 시스템을 도입한 최첨단 물류센터를 오픈했다. 지난 21일 열린 오픈식에는 이완신 롯데홈쇼핑 대표 박찬복 롯데글로벌로지스 대표..., https://www.etnews.com/20221023000012 
유아이패스 “자동화 시장 RPA에서 지능형 프로세스 자동화(IPA ..., 웨이브2에는 엔터프라이즈 자동화뿐 아니라 퍼스널 자동화(Personal Automation) 요소도 포함된다. 그는 “지난 3년 동안 많은 기업들이 RPA를 적용하면서 시간과 비용을..., https://byline.network/2022/10/20-208/ 
